survey_name,user_id,question,response,question_type,q_order
housing-survey,001366d3-0275-4395-a6d7-33a1cf0e186c,Where do you currently live?,Suburbs,single_select,2
housing-survey,001366d3-0275-4395-a6d7-33a1cf0e186c,When was the last time you moved?,More than 5 years ago,single_select,6
housing-survey,001366d3-0275-4395-a6d7-33a1cf0e186c,"In your area, how do you expect housing prices to change in the next year?",Increase somewhat,single_select,2
housing-survey,001366d3-0275-4395-a6d7-33a1cf0e186c,"In the next five years, what is the likelihood of you becoming a homeowner?",Very likely,single_select,1
housing-survey,001366d3-0275-4395-a6d7-33a1cf0e186c,Rent control is a necessary and effective way to keep housing prices down.,Neither agree nor disagree,single_select,3
housing-survey,00b59536-44c7-4cf3-8b35-0095b5b2ee96,Where do you currently live?,City,single_select,1
housing-survey,00b59536-44c7-4cf3-8b35-0095b5b2ee96,When was the last time you moved?,More than 5 years ago,single_select,6
housing-survey,00b59536-44c7-4cf3-8b35-0095b5b2ee96,"In your area, how do you expect housing prices to change in the next year?",Increase a lot,single_select,1
housing-survey,00b59536-44c7-4cf3-8b35-0095b5b2ee96,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat likely,single_select,2
housing-survey,00b59536-44c7-4cf3-8b35-0095b5b2ee96,Rent control is a necessary and effective way to keep housing prices down.,Neither agree nor disagree,single_select,3
housing-survey,00d8fb8c-5b75-4ebe-96f6-644f50ef83f2,Where do you currently live?,Suburbs,single_select,2
housing-survey,00d8fb8c-5b75-4ebe-96f6-644f50ef83f2,When was the last time you moved?,1-2 years ago,single_select,2
housing-survey,00d8fb8c-5b75-4ebe-96f6-644f50ef83f2,"In your area, how do you expect housing prices to change in the next year?",No change,single_select,3
housing-survey,00d8fb8c-5b75-4ebe-96f6-644f50ef83f2,"In the next five years, what is the likelihood of you becoming a homeowner?",Somewhat unlikely,single_select,4
housing-survey,00d8fb8c-5b75-4ebe-96f6-644f50ef83f2,Rent control is a necessary and effective way to keep housing prices down.,Neither agree nor disagree,single_select,3
housing-survey,00dd6983-b5ea-4102-b0d6-3b4805bc67a2,Where do you currently live?,Suburbs,single_select,2
housing-survey,00dd6983-b5ea-4102-b0d6-3b4805bc67a2,When was the last time you moved?,1-2 years ago,single_select,2
